unit,date_init,date_end,value_replace
Yanango,"(2023,9,16,0,0)","(2023,9,16,17,0)",100
Yanango,"(2023,9,17,0,0)","(2023,9,18,0,0)",100
Yanango,"(2023,9,17,7,0)","(2023,9,18,0,0)",100
Yanango,"(2023,9,17,7,0)","(2023,9,17,17,0)",100
Yanango,"(2023,9,18,0,0)","(2023,9,19,0,0)",100
Yanango,"(2023,9,18,0,0)","(2023,9,19,0,0)",100
Yanango,"(2023,9,19,0,0)","(2023,9,20,0,0)",100
Yanango,"(2023,9,19,0,0)","(2023,9,20,0,0)",100
Yanango,"(2023,9,20,0,0)","(2023,9,20,17,0)",100
Yanango,"(2023,9,20,0,0)","(2023,9,21,0,0)",100
Yanango,"(2023,9,21,0,0)","(2023,9,22,0,0)",100
Yanango,"(2023,9,22,0,0)","(2023,9,23,0,0)",100
Yanango,"(2023,9,23,0,0)","(2023,9,24,0,0)",100
Yanango,"(2023,9,24,0,0)","(2023,9,25,0,0)",100
Yanango,"(2023,9,25,0,0)","(2023,9,26,0,0)",100
Yanango,"(2023,9,26,0,0)","(2023,9,27,0,0)",100
Yanango,"(2023,9,27,0,0)","(2023,9,28,0,0)",100
Yanango,"(2023,12,12,7,0)","(2023,12,12,17,0)",100
Yanango,"(2024,3,10,7,0)","(2024,3,10,17,0)",100
Yanango,"(2024,6,15,7,0)","(2024,6,15,17,0)",100
Charcani123,"(2023,11,17,0,0)","(2023,11,18,0,0)",100
Charcani123,"(2023,11,18,0,0)","(2023,11,19,0,0)",100
Charcani123,"(2023,11,19,0,0)","(2023,11,20,0,0)",100
Charcani123,"(2023,11,20,0,0)","(2023,11,21,0,0)",100
Charcani123,"(2023,11,21,0,0)","(2023,11,22,0,0)",100
Charcani123,"(2023,11,22,0,0)","(2023,11,23,0,0)",100
Charcani123,"(2023,11,22,7,0)","(2023,11,22,17,0)",100
Charcani123,"(2023,11,23,0,0)","(2023,11,24,0,0)",100
Charcani123,"(2023,11,23,7,0)","(2023,11,23,15,0)",100
Charcani123,"(2023,11,24,0,0)","(2023,11,25,0,0)",100
Charcani123,"(2023,11,25,0,0)","(2023,11,26,0,0)",100
Charcani123,"(2023,11,26,0,0)","(2023,11,27,0,0)",100
Charcani123,"(2023,11,27,0,0)","(2023,11,28,0,0)",100
Charcani123,"(2023,11,28,0,0)","(2023,11,29,0,0)",100
Charcani123,"(2023,11,29,0,0)","(2023,11,30,0,0)",100
Charcani123,"(2023,11,30,0,0)","(2023,12,1,0,0)",100
Charcani123,"(2023,12,1,0,0)","(2023,12,2,0,0)",100
Charcani123,"(2023,12,2,0,0)","(2023,12,3,0,0)",100
Charcani123,"(2023,12,3,0,0)","(2023,12,4,0,0)",100
Charcani123,"(2023,12,4,0,0)","(2023,12,5,0,0)",100
Charcani123,"(2023,12,5,0,0)","(2023,12,6,0,0)",100
Charcani123,"(2023,12,6,0,0)","(2023,12,7,0,0)",100
Charcani123,"(2023,12,7,0,0)","(2023,12,8,0,0)",100
Charcani123,"(2023,12,8,0,0)","(2023,12,9,0,0)",100
Charcani123,"(2023,12,9,0,0)","(2023,12,10,0,0)",100
Charcani123,"(2023,12,10,0,0)","(2023,12,11,0,0)",100
Charcani123,"(2023,12,11,0,0)","(2023,12,12,0,0)",100
Charcani123,"(2023,12,12,0,0)","(2023,12,13,0,0)",100
Charcani123,"(2023,12,13,0,0)","(2023,12,14,0,0)",100
Charcani123,"(2023,12,14,0,0)","(2023,12,15,0,0)",100
Charcani123,"(2023,12,15,0,0)","(2023,12,16,0,0)",100
Charcani123,"(2023,12,16,0,0)","(2023,12,17,0,0)",100
Charcani123,"(2024,5,15,6,0)","(2024,5,15,17,0)",100
Charcani123,"(2024,5,15,7,0)","(2024,5,15,17,0)",100
Charcani123,"(2024,5,16,6,0)","(2024,5,16,17,0)",100
Charcani123,"(2024,6,27,7,0)","(2024,6,27,15,0)",100
Charcani123,"(2023,7,21,7,0)","(2023,7,21,15,0)",100
Charcani123,"(2023,9,21,7,0)","(2023,9,21,15,0)",100
Charcani123,"(2023,10,16,0,0)","(2023,10,17,0,0)",100
Charcani123,"(2023,10,17,0,0)","(2023,10,18,0,0)",100
Charcani123,"(2023,10,18,0,0)","(2023,10,19,0,0)",100
Charcani123,"(2023,10,19,0,0)","(2023,10,20,0,0)",100
Charcani123,"(2023,10,20,0,0)","(2023,10,21,0,0)",100
Charcani123,"(2023,10,21,0,0)","(2023,10,22,0,0)",100
Charcani123,"(2023,10,22,0,0)","(2023,10,23,0,0)",100
Charcani123,"(2024,2,3,7,0)","(2024,2,3,15,0)",100
Charcani123,"(2024,4,6,7,0)","(2024,4,6,15,0)",100
Charcani123,"(2024,6,7,7,0)","(2024,6,7,15,0)",100
Charcani123,"(2024,6,8,7,0)","(2024,6,8,15,0)",100
Charcani4,"(2023,11,24,7,0)","(2023,11,24,17,0)",33.24658426
Charcani4,"(2024,5,17,7,0)","(2024,5,17,17,0)",33.24658426
Charcani5,"(2023,10,14,17,0)","(2023,10,15,0,0)",100
Charcani5,"(2023,10,15,0,0)","(2023,10,16,0,0)",100
Charcani5,"(2023,10,16,0,0)","(2023,10,17,0,0)",100
Charcani5,"(2023,10,17,0,0)","(2023,10,18,0,0)",100
Charcani5,"(2023,10,18,0,0)","(2023,10,19,0,0)",100
Charcani5,"(2023,10,19,0,0)","(2023,10,20,0,0)",100
Charcani5,"(2023,10,20,0,0)","(2023,10,21,0,0)",100
Charcani5,"(2023,10,21,0,0)","(2023,10,21,17,0)",100
Charcani5,"(2023,12,17,7,0)","(2023,12,17,15,0)",100
Charcani5,"(2023,8,1,7,0)","(2023,8,1,15,0)",33.49570201
Charcani5,"(2023,9,12,7,0)","(2023,9,12,15,0)",33.49570201
Charcani5,"(2023,10,25,7,0)","(2023,10,25,15,0)",33.49570201
Charcani5,"(2023,11,17,7,0)","(2023,11,17,12,0)",33.49570201
Charcani5,"(2023,12,6,7,0)","(2023,12,6,15,0)",33.49570201
Charcani5,"(2023,12,7,7,0)","(2023,12,7,15,0)",33.49570201
Charcani5,"(2023,12,27,7,0)","(2023,12,27,15,0)",33.49570201
Charcani5,"(2024,1,20,7,0)","(2024,1,20,15,0)",33.49570201
Charcani5,"(2024,3,3,7,0)","(2024,3,3,15,0)",33.49570201
Charcani5,"(2024,4,17,7,0)","(2024,4,17,15,0)",33.49570201
Charcani5,"(2024,5,29,7,0)","(2024,5,29,15,0)",33.49570201
Charcani5,"(2024,5,30,7,0)","(2024,5,30,15,0)",33.49570201
Charcani6,"(2023,7,22,7,0)","(2023,7,22,15,0)",100
Charcani6,"(2023,9,11,7,0)","(2023,9,11,15,0)",100
Charcani6,"(2023,10,1,0,0)","(2023,10,2,0,0)",100
Charcani6,"(2023,10,2,0,0)","(2023,10,3,0,0)",100
Charcani6,"(2023,10,2,0,0)","(2023,10,3,0,0)",100
Charcani6,"(2023,10,3,0,0)","(2023,10,4,0,0)",100
Charcani6,"(2023,10,3,0,0)","(2023,10,4,0,0)",100
Charcani6,"(2023,10,4,0,0)","(2023,10,5,0,0)",100
Charcani6,"(2023,10,4,0,0)","(2023,10,5,0,0)",100
Charcani6,"(2023,10,5,0,0)","(2023,10,6,0,0)",100
Charcani6,"(2023,10,5,0,0)","(2023,10,6,0,0)",100
Charcani6,"(2023,10,6,0,0)","(2023,10,7,0,0)",100
Charcani6,"(2023,10,6,0,0)","(2023,10,7,0,0)",100
Charcani6,"(2023,10,7,0,0)","(2023,10,8,0,0)",100
Charcani6,"(2023,10,7,0,0)","(2023,10,8,0,0)",100
Charcani6,"(2023,10,8,0,0)","(2023,10,9,0,0)",100
Charcani6,"(2023,10,9,0,0)","(2023,10,10,0,0)",100
Charcani6,"(2023,10,10,0,0)","(2023,10,11,0,0)",100
Charcani6,"(2023,10,11,0,0)","(2023,10,12,0,0)",100
Charcani6,"(2023,10,12,0,0)","(2023,10,13,0,0)",100
Charcani6,"(2023,10,13,0,0)","(2023,10,14,0,0)",100
Charcani6,"(2023,10,14,0,0)","(2023,10,15,0,0)",100
Charcani6,"(2023,10,15,0,0)","(2023,10,16,0,0)",100
Charcani6,"(2023,10,16,0,0)","(2023,10,17,0,0)",100
Charcani6,"(2023,10,17,0,0)","(2023,10,18,0,0)",100
Charcani6,"(2023,10,18,0,0)","(2023,10,19,0,0)",100
Charcani6,"(2023,10,19,0,0)","(2023,10,20,0,0)",100
Charcani6,"(2023,10,20,0,0)","(2023,10,21,0,0)",100
Charcani6,"(2023,10,21,0,0)","(2023,10,22,0,0)",100
Charcani6,"(2023,10,22,0,0)","(2023,10,23,0,0)",100
Charcani6,"(2023,10,23,0,0)","(2023,10,24,0,0)",100
Charcani6,"(2023,10,23,7,0)","(2023,10,23,15,0)",100
Charcani6,"(2023,10,24,0,0)","(2023,10,25,0,0)",100
Charcani6,"(2023,10,24,7,0)","(2023,10,24,15,0)",100
Charcani6,"(2023,10,25,0,0)","(2023,10,26,0,0)",100
Charcani6,"(2023,10,26,0,0)","(2023,10,27,0,0)",100
Charcani6,"(2023,10,27,0,0)","(2023,10,28,0,0)",100
Charcani6,"(2023,10,28,0,0)","(2023,10,29,0,0)",100
Charcani6,"(2023,10,29,0,0)","(2023,10,30,0,0)",100
Charcani6,"(2023,10,30,0,0)","(2023,10,31,0,0)",100
Charcani6,"(2023,10,31,0,0)","(2023,11,1,0,0)",100
Charcani6,"(2023,11,1,0,0)","(2023,11,2,0,0)",100
Charcani6,"(2023,11,2,0,0)","(2023,11,3,0,0)",100
Charcani6,"(2023,11,3,0,0)","(2023,11,4,0,0)",100
Charcani6,"(2023,11,4,0,0)","(2023,11,5,0,0)",100
Charcani6,"(2023,11,5,0,0)","(2023,11,6,0,0)",100
Charcani6,"(2023,11,6,0,0)","(2023,11,7,0,0)",100
Charcani6,"(2023,11,7,0,0)","(2023,11,8,0,0)",100
Charcani6,"(2023,11,8,0,0)","(2023,11,9,0,0)",100
Charcani6,"(2023,11,9,0,0)","(2023,11,10,0,0)",100
Charcani6,"(2023,11,10,0,0)","(2023,11,11,0,0)",100
Charcani6,"(2023,11,11,0,0)","(2023,11,12,0,0)",100
Charcani6,"(2023,11,12,0,0)","(2023,11,13,0,0)",100
Charcani6,"(2023,11,13,0,0)","(2023,11,14,0,0)",100
Charcani6,"(2023,11,14,0,0)","(2023,11,15,0,0)",100
Charcani6,"(2023,11,15,0,0)","(2023,11,16,0,0)",100
Charcani6,"(2023,11,16,0,0)","(2023,11,17,0,0)",100
Charcani6,"(2023,11,17,0,0)","(2023,11,18,0,0)",100
Charcani6,"(2023,11,18,0,0)","(2023,11,19,0,0)",100
Charcani6,"(2023,11,19,0,0)","(2023,11,20,0,0)",100
Charcani6,"(2023,11,20,0,0)","(2023,11,21,0,0)",100
Charcani6,"(2023,11,21,0,0)","(2023,11,22,0,0)",100
Charcani6,"(2023,11,22,0,0)","(2023,11,23,0,0)",100
Charcani6,"(2023,11,23,0,0)","(2023,11,24,0,0)",100
Charcani6,"(2023,11,24,0,0)","(2023,11,25,0,0)",100
Charcani6,"(2023,11,25,0,0)","(2023,11,26,0,0)",100
Charcani6,"(2023,11,26,0,0)","(2023,11,27,0,0)",100
Charcani6,"(2023,11,27,0,0)","(2023,11,28,0,0)",100
Charcani6,"(2023,11,28,0,0)","(2023,11,29,0,0)",100
Charcani6,"(2023,11,29,0,0)","(2023,11,30,0,0)",100
Charcani6,"(2023,11,30,0,0)","(2023,12,1,0,0)",100
